unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
EAPR,PRK,Democratic People's Republic of Korea,POL3,0,0,0,70,98,99,99,99,99,99,99,99,99,99,98,98,99,98,97,99,99,99,98,93
WCAR,COD,Democratic Republic of the Congo,POL3,61,66,65,72,74,72,71,66,69,72,71,69,65,68,69,67,64,62,60,52,47,40,30,42
Non-programme,DNK,Denmark,POL3,97,98,97,97,97,97,98,94,93,94,94,94,91,90,89,88,87,93,93,95,96,98,97,97
MENA,DJI,Djibouti,POL3,72,59,59,70,85,84,76,68,84,78,82,81,87,88,89,89,88,72,71,64,68,62,49,46
LACR,DMA,Dominica,POL3,57,82,92,96,99,94,91,99,98,97,96,97,98,99,99,95,93,96,98,99,99,98,99,99
LACR,DOM,Dominican Republic,POL3,89,88,83,80,92,86,80,82,87,90,82,85,84,85,85,86,86,88,86,66,65,74,71,71
LACR,ECU,Ecuador,POL3,59,59,62,72,85,85,83,79,84,84,87,85,85,88,91,94,95,92,89,90,97,88,90,83
MENA,EGY,Egypt,POL3,96,97,96,95,95,95,94,95,93,94,97,93,96,97,97,97,98,98,98,97,98,97,99,98
LACR,SLV,El Salvador,POL3,96,93,96,85,97,89,83,98,94,94,90,93,90,89,91,98,99,96,89,90,93,81,94,98
WCAR,GNQ,Equatorial Guinea,POL3,73,70,68,65,63,60,58,55,37,55,57,58,60,61,59,57,55,53,51,49,47,45,43,41
ESAR,ERI,Eritrea,POL3,95,95,95,95,95,95,95,95,95,94,94,94,94,95,95,95,95,94,96,98,95,92,89,82
Non-programme,EST,Estonia,POL3,89,89,89,91,91,92,93,93,93,93,94,94,93,94,95,95,95,95,96,95,95,94,94,93
ESAR,SWZ,Eswatini,POL3,76,97,61,82,89,90,90,90,84,98,98,92,85,89,89,89,88,88,88,88,87,87,87,87
ESAR,ETH,Ethiopia,POL3,72,62,66,72,69,68,66,68,74,68,70,70,70,69,65,63,61,59,56,54,55,55,55,55
EAPR,FJI,Fiji,POL3,99,99,99,99,97,94,91,89,99,99,99,99,99,98,99,98,99,98,97,96,95,94,92,91
Non-programme,FIN,Finland,POL3,91,91,89,90,91,91,89,92,97,98,98,99,99,99,99,97,97,97,97,96,96,95,95,96
Non-programme,FRA,France,POL3,96,96,96,96,96,96,96,96,97,98,99,99,99,99,98,99,99,99,98,99,96,97,98,98
WCAR,GAB,Gabon,POL3,69,59,69,62,70,64,74,74,79,68,77,80,75,68,74,81,78,44,44,44,44,44,44,44
WCAR,GMB,Gambia,POL3,86,69,89,89,88,93,92,95,96,97,96,98,95,97,97,96,94,94,94,88,87,86,85,84
ECAR,GEO,Georgia,POL3,88,85,85,88,94,93,91,92,91,91,94,93,88,88,93,90,88,89,82,66,74,89,83,81
Non-programme,DEU,Germany,POL3,91,91,91,91,91,91,91,91,92,93,93,94,94,94,95,95,95,94,95,96,96,97,96,94
WCAR,GHA,Ghana,POL3,91,90,98,92,97,98,94,95,88,94,91,91,91,94,94,92,94,84,85,81,80,80,81,88
ECAR,GRC,Greece,POL3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,96,95,93,92,90,89
LACR,GRD,Grenada,POL3,86,73,77,72,94,96,91,98,99,81,98,98,95,94,99,99,96,91,99,84,98,98,96,97
LACR,GTM,Guatemala,POL3,84,78,79,89,88,85,90,84,80,66,94,94,88,94,92,96,85,90,87,88,84,82,78,80
WCAR,GIN,Guinea,POL3,48,48,48,48,48,48,48,48,47,42,49,56,63,62,60,59,46,53,59,65,61,56,52,47
WCAR,GNB,Guinea-Bissau,POL3,75,51,23,63,60,82,79,81,83,84,86,87,85,82,78,77,76,74,73,69,65,60,56,52
LACR,GUY,Guyana,POL3,99,97,97,91,97,94,94,94,92,97,98,97,93,95,97,93,94,92,93,91,91,93,90,79
LACR,HTI,Haiti,POL3,51,51,51,51,51,64,64,65,65,63,64,66,67,66,65,64,62,61,60,58,56,54,52,50
LACR,HND,Honduras,POL3,71,78,77,80,88,91,90,95,98,99,99,98,97,97,97,93,94,94,98,94,92,95,99,88
Non-programme,HUN,Hungary,POL3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99
Non-programme,ISL,Iceland,POL3,92,92,92,93,93,91,89,91,92,90,91,89,95,96,96,98,97,97,95,99,97,95,92,98
ROSA,IND,India,POL3,91,93,85,85,90,90,89,86,86,84,82,79,79,76,73,69,67,66,65,58,57,58,58,57
EAPR,IDN,Indonesia,POL3,82,91,68,76,85,87,88,85,85,90,92,87,81,82,85,83,77,78,79,79,80,80,77,72
MENA,IRN,Iran (Islamic Republic of),POL3,99,99,98,99,99,99,99,99,98,99,98,99,99,99,99,99,98,99,95,98,99,99,95,99
MENA,IRQ,Iraq,POL3,91,92,78,78,85,74,82,76,72,76,75,73,82,74,78,71,74,63,69,69,73,76,80,83
Non-programme,IRL,Ireland,POL3,93,93,94,94,94,94,95,95,95,96,96,95,95,94,94,93,92,91,90,89,86,83,84,86
Non-programme,ISR,Israel,POL3,98,98,98,98,98,98,98,94,95,95,96,94,94,95,96,94,95,94,95,95,93,91,93,93
Non-programme,ITA,Italy,POL3,95,95,94,94,96,95,95,93,93,95,96,96,96,96,96,96,97,97,97,97,97,96,96,97
LACR,JAM,Jamaica,POL3,98,94,90,95,96,98,93,99,91,93,86,96,93,94,90,91,94,99,99,97,99,99,99,95
Non-programme,JPN,Japan,POL3,98,99,99,96,98,98,97,99,99,99,99,99,96,98,99,98,97,95,95,97,97,89,81,98
MENA,JOR,Jordan,POL3,95,92,84,76,87,92,99,98,99,98,98,98,98,98,98,98,98,98,95,95,97,95,97,94
ECAR,KAZ,Kazakhstan,POL3,99,99,95,88,97,98,99,82,98,95,98,98,99,98,99,99,94,99,99,99,99,95,95,96
ESAR,KEN,Kenya,POL3,92,91,95,92,88,89,76,84,79,90,93,94,97,90,89,88,76,77,70,73,75,83,77,80
EAPR,KIR,Kiribati,POL3,87,90,86,91,94,93,90,82,80,79,91,92,95,95,84,74,93,86,74,61,79,96,88,90
MENA,KWT,Kuwait,POL3,99,95,94,95,97,98,99,99,99,94,99,98,99,98,99,99,99,99,99,98,99,99,99,94
ECAR,KGZ,Kyrgyzstan,POL3,92,92,90,87,96,92,93,97,97,95,97,94,94,88,96,95,94,93,98,98,98,99,99,99
